アリティアの王子 マルス
タリスの王女 シーダ
猛牛と呼ばれし騎士 カイン
赤の騎士 カイン
黒豹と呼ばれし騎士 アベル
緑の騎士 アベル
護りの騎士 ドーガ
同盟軍の弓騎士 ゴードン
解放軍の弓兵 ゴードン
タリスの傭兵 オグマ
タリスの戦士 サジ
タリスの斧使い マジ
タリスの義勇兵 バーツ
紅の剣士 ナバール
辺境の聖女 レナ
疾風の賢者 マリク
風の魔道士 マリク
大司祭ミロアの娘 リンダ
イーリス聖王国の王子 クロム
聖王の血を引く者 ルキナ
聖王の神軍師 ルフレ(女)
記憶を失くした軍師 ルフレ(女)
イーリス聖王国の王女 リズ
飛び跳ねシスター リズ
穏和な騎士団長 フレデリク
ロザンヌの侯爵 ヴィオール
貴族的な弓使い ヴィオール
紅瞳の猛牛 ソワレ
勇敢な紅騎士 ソワレ
碧眼の黒豹 ソール
お人好しな碧騎士 ソール
花占いの乙女 スミア
孤高の刃 ロンクー
女嫌いの剣士 ロンクー
罵詈雑言の令嬢 マリアベル
若き天才騎士 ティアモ
白夜王国の王子 カムイ(男)
白き歌い手 アクア
泉の歌姫 アクア
白夜の第一王子 リョウマ
白夜の第一王女 ヒノカ
白夜の弟王子 タクミ
白夜の妹王女 サクラ
爆炎使い サイゾウ
白夜の影忍 サイゾウ
おっとり弓聖 セツナ
ぼんやり弓使い セツナ
白夜の風雲児 ヒナタ
破天荒な侍 ヒナタ
桜花の守り人 カザハナ
お転婆侍 カザハナ
炎の娘 リンカ
少年呪い師 ツクヨミ
暗夜王国の王女 カムイ(女)
黒き歌い手 アクア
水面の歌姫 アクア
暗夜の第一王子 マークス
暗夜の第一王女 カミラ
暗夜の弟王子 レオン
暗夜の妹姫 エリーゼ
イノセント・キラー ピエリ
殺戮本能 ピエリ
愛を知らぬ刃 ベルカ
冷徹なる殺し屋 ベルカ
選ばれし闇の者 オーディン
力を封印せし者 オーディン
ミスター・ハードラック ハロルド
不運なヒーロー ハロルド
忠節なる老騎士 ギュンター
強面の重騎士 ブノワ
傭兵団の青年 アイク
遺された姫 エリンシア
世話好きな妹 ミスト
傭兵団の副長 ティアマト
黒衣の参謀 セネリオ
傭兵三兄弟の長男 オスカー
穏やかな槍騎士 オスカー
傭兵三兄弟の次男 ボーレ
臆せぬ戦士 ボーレ
傭兵三兄弟の末弟 ヨファ
小さき弓使い ヨファ
病弱な神官 キルロイ
惚れっぽい重歩兵 ガトリー
兄を捜す聖天馬 マーシャ
明るい天馬騎士 マーシャ
獣牙族の娘 レテ
解放への疾槍 ネフェニー
寡黙な民兵 ネフェニー
夢見る女子高生 織部 つばさ
幻影の天馬騎士 シーダ
チョイ役エキストラ 赤城 斗馬
勇猛なる幻影騎兵 カイン
幻影のウタロイド チキ
暗黒戦争の英雄 オグマ
気高き姉王女 ユミナ
グルニアの王女 ユミナ
聡明な弟王子 ユベロ
グルニアの王子 ユベロ
ノーマル系男子 蒼井 樹
若き幻影の君主 クロム
解放軍の剣姫 サイリ
ソンシンの王女 サイリ
笑顔の運び手 アズール
照れ屋の傭兵 アズール
英雄志願 シンシア
怖がりタグエル シャンブレー
大人しい子供 ンン
フェレ家の公子 ロイ
オスティアの公女 リリーナ
炎の如き忠騎 アレン
猛ける騎士 アレン
疾風の如き忠騎 ランス
静かなる騎士 ランス
深き絆の矢 ウォルト
フェレ家の弓使い ウォルト
鉄壁の重騎士 ボールス
姫に仕えるシスター エレン
百戦錬磨の強者 ディーク
ディーク傭兵団の隊長 ディーク
向こう見ずな傭兵 ワード
慎重な斧戦士 ロット
半人前の天馬騎士 シャニー
決意の魔法少年 ルゥ
復讐の剣士 ルトガー
クトラ族の少女 スー
シアルフィの公子 シグルド
精霊の森の少女 ディアドラ
レンスターの王子 キュアン
ノディオンの王子 エルトシャン
お転婆な姫 エスリン
見習い騎士 フィン
決死の紅刃 ノイッシュ
赤き騎士道 ノイッシュ
護身の翠刃 アレク
軽妙なる緑騎 アレク
優しき煌炎 アゼル
ヴェルトマーの公子 アゼル
想いを秘めた弓 ミデェール
イザークの王女 アイラ
放浪の吟遊詩人 レヴィン
旅の踊り子 シルヴィア
氷雪の翔騎 フュリー
主君を捜す翼 フュリー
ラムの村の少年 アルム
ソフィアの神官戦士 セリカ
要領の良い男 グレイ(バレンシア)
頼れる幼なじみ グレイ(バレンシア)
篤き友情の弓騎士 ロビン
空気の読めない幼なじみ ロビン
冷ややかな情熱 クリフ
一途な恋心 エフィ
ラムの村の少女 エフィ
ソフィア解放軍の使い ルカ
戦うお嬢様 クレア
解放軍のリーダー クレーベ
元気な魔道少女 メイ
ノーヴァの幼きシスター ジェニー
天下の用心棒 セーバー
金目当ての傭兵 セーバー
紅髪の公子 エリウッド
ロルカ族の少女剣士 リン
親友との旅路 フロリーナ
稀代の弓使い ウィル
旅の弓使い ウィル
冷静なる豪斧 ドルカス
家族想いの戦士 ドルカス
かよわい(?)シスター セーラ
陽気な密偵 マシュー
滾る料理人の血 ロウエン
食にこだわる従騎士 ロウエン
鋼の壮漢 ヘクトル
成長中の大器 ギィ
運命の遭逢 ニニアン
「生きた伝説」の弟子 パント
若きリグレ公爵 パント
溢れる愛の弓 ルイーズ
リグレの許婚候補 ルイーズ
英雄王となる者 マルス
長き眠りからの目醒め チキ
世界を救う決意 セリカ
聖痕を持つ王女 ルキナ
天才少女の秘密 ティアモ
祖国を護る弓王子 タクミ
愛情深き竜王女 カミラ
団長アイクの妹 ミスト
甘く切ない贈り物 リリーナ
月の腕輪を持つ王女 エイリーク
真銀の将軍 ゼト
勇王の騎士 ゼト
優秀なる魔炎使い ルーテ
不動の重騎士 アーダン
イザークの剣姫 アイラ
黒鷲の学級の級長 エーデルガルト
皇女に仕える参謀 ヒューベルト
大貴族の誇りと共に フェルディナント
エーギル家の貴公子 フェルディナント
ヴァーリ家の引き籠もり娘 ベル...
元歌劇団の歌姫 ドロテア
青獅子の学級の級長 ディミトリ
強面の従者 ドゥドゥー
柔らかく包む聖笑 メルセデス
優しく朗らかな女生徒 メルセデス
ガラテア家の希望 イングリット
金鹿の学級の級長 クロード(フォドラ)
食欲旺盛な青年 ラファエル
コーデリア家の才女 リシテア
甘え上手なお嬢様 ヒルダ
「壊刃」の一番弟子 レオニー
スターロード マルス
戦場を翔ける王女 シーダ
忠義の古強者 ジェイガン
剛剣の使い手 オグマ
必殺剣の使い手 ナバール
聖王国の守護者 クロム
忘れられた重騎士 カラム
貧民街の英雄 ヴェイク
理知の瞳 ミリエル
小さな魔道士 リヒト
未来を選びし王子 カムイ(男)
白夜の後継者 リョウマ
紅の戦姫 ヒノカ
神弓の使い手 タクミ
慈しみの巫女 サクラ
未来を選びし王女 カムイ(女)
暗夜の王太子 マークス
妖艶な魔竜騎士 カミラ
グラビティ・マスター レオン
可憐な戦術師 エリーゼ
クリミアの勇将 アイク
戦場に立つ王女 エリンシア
傭兵団の団長 グレイル
癒しの戦姫 ミスト
冷徹なる参謀 セネリオ
ロードに選ばれし若者 蒼井 樹
ペガサスのアイドル 織部 つばさ
爆進するヒーロー 赤城 斗馬
ひと味違うカリスマ 黒乃 霧亜
目指せハリウッド！ 弓弦 エレオ...
若き獅子 ロイ
気丈なる姫 リリーナ
忠実なる聖騎士 マーカス
朗らかな天馬騎士 シャニー
緋き復讐鬼 ルトガー
聖なる血を継ぐ者 シグルド
悲劇の聖女 ディアドラ
ノヴァの騎士 キュアン
城の守り アーダン
ドズル家の公子 レックス
最強の戦士 アルム
ソフィアの王女 セリカ
ソフィアの英雄 マイセン
ノーヴァの少年魔道士 ボーイ
仇討ちの重歩兵 バルボ
空と大地の剣士 リン
烈火の君主 エリウッド
寄り添う優翼 フロリーナ
修行中の魔道士 エルク
誉の聖騎士 マーカス
英雄アンリの末裔 マルス
聖王国の守護姫 ルキナ
天を衝く雷神刀 リョウマ
地を砕く暗黒剣 マークス
大いなる傭兵 アイク
炎の若獅子 ロイ
一騎当千の流星 アイラ
「天帝」を託されし者 ベレス
若き傭兵の剣士 ベレス
夢に現れし童女 ソティス
揺るがぬ炎の意志 エーデルガルト
文武を修めし貴紳 ディミトリ
自由闊達な策士 クロード(フォドラ)
修道院で暮らす乙女 フレン
